Chinese	Pinyin	English
共同	gòngtóng	common
够	gòu	enough
购物	gòuwù	Shopping
估计	gūjì	estimate
鼓励	gǔlì	encourage
顾客	gùkè	customer
故意	gùyì	deliberately
挂	guà	hang
关键	guānjiàn	key
观众	guānzhòng	Audience
管理	guǎnlǐ	Administration
光	guāng	light
广播	guǎngbō	Radio broadcast
广告	guǎnggào	Advertisement
逛	guàng	Stroll
规定	guīdìng	Regulations
国际	guójì	international
国籍	guójí	nationality
果汁	guǒzhī	fruit juice
过程	guòchéng	process
海洋	hǎiyáng	ocean
害羞	hàixiū	Shy
寒假	hánjià	The winter vacation
汗	hàn	sweat
航班	hángbān	flight
好处	hǎochù	benefit
好像	hǎoxiàng	Be like, seem
号码	hàomǎ	number
合格	hégé	qualified
合适	héshì	appropriate
盒子	hézi	Box
厚	hòu	thick
后悔	hòuhuǐ	regret
护士	hùshi	Nurse
互联网 	hùliánwǎng	Internet
互相	hùxiāng	each other
怀疑	huáiyí	doubt
回忆	huíyì	Memory
活动	huódòng	activity
活泼	huópō	lively
火	huǒ	fire
获得	huòdé	Get
基础	jīchǔ	Basics
激动	jīdòng	Excited
积极	jījí	positive
积累	jīlěi	accumulation
及时	jíshí	timely
即使	jíshǐ	even if
寄	jì	send
记者	jìzhě	Reporter
计划	jìhuà	plan
既然	jìrán	although
技术	jìshù	technology
继续	jìxù	Continue
家具	jiājù	furniture
加班	jiābān	overtime work
加油站	jiāyóuzhàn	Gas station
假	jiǎ	false 
价格	jiàgé	Price
坚持	jiānchí	Insist
减肥	jiǎnféi	Reduce weight
减少	jiǎnshǎo	reduce
建议	jiànyì	proposal
将来	jiānglái	future
奖金	jiǎngjīn	bonus
降低	jiàngdī	reduce
降落	jiàngluò	land
交	jiāo	hand over
交流	jiāoliú	Communication
交通	jiāotōng	traffic
郊区	jiāoqū	Suburb
骄傲	jiāo’ào	Proud
饺子	jiǎozi	Dumplings
教授	jiàoshòu	professor
教育	jiàoyù	education
接受	jiēshòu	accept
接着	jiēzhe	Next
结果	jiéguǒ	Result
节	jié	section, festival
节约	jiéyuē	save
解释	jiěshì	explain
尽管	jǐnguǎn	although
紧张	jǐnzhāng	Nervous
进行	jìnxíng	in process of
禁止	jìnzhǐ	prohibit
精彩	jīngcǎi	Marvellous
经济	jīngjì	Economics
经历	jīnglì	experience
经验	jīngyàn	experience
京剧	jīngjù	Beijing opera
警察	jǐngchá	Policeman
景色	jǐngsè	scenery
竟然	jìngrán	Unexpectedly
竞争	jìngzhēng	compete
镜子	jìngzi	Mirror
究竟	jiūjìng	exactly
举	jǔ	lift
举办	jǔbàn	hold
举行	jǔxíng	hold
拒绝	jùjué	refuse
距离	jùlí	distance
聚会	jùhuì	Party
开玩笑	kāiwánxiào	Make fun of
开心	kāixīn	Happy
看法	kànfǎ	view
考虑	kǎolǜ	Consider
烤鸭	kǎoyā	Roasted Duck
棵	kē	Tree (measure word)
科学	kēxué	science
咳嗽	késou	cough
可怜	kělián	Poor
可是	kěshì	however
可惜	kěxī	unfortunately
客厅	kètīng	A living room
肯定	kěndìng	sure
空	kōng	empty
空气	kōngqì	air
恐怕	kǒngpà	I’m afraid
苦	kǔ	bitter
矿泉水	kuàngquánshuǐ	Mineral water
困	kùn	sleepy
困难	kùnnan	difficulty
拉	lā	pull
垃圾桶	lājītǒng	Trash
辣	là	spicy
来自	láizì	Come from
来不及	láibují	There’s not enough time
来得及	láidejí	In time
懒	lǎn	lazy
浪费	làngfèi	Waste
浪漫	làngmàn	romantic
老虎	lǎohǔ	Tiger
冷静	lěngjìng	calm down
理发	lǐfà	Haircut
理解	lǐjiě	Understand
理想	lǐxiǎng	ideal
礼貌	lǐmào	politeness
礼拜天	lǐbàitiān	Sunday
厉害	lìhai	Fierce
力气	lìqi	Strength
例如	lìrú	for example
俩	liǎ	Two
连	lián	even
联系	liánxì	contact
凉快	liángkuai	Pleasantly cool
零钱	língqián	Small change
另外	lìngwài	in addition
留	liú	stay
流利	liúlì	fluent
流行	liúxíng	Popular
乱	luàn	chaos
旅行	lǚxíng	travel
律师	lǜshī	Lawyer
麻烦	máfan	trouble
马虎	mǎhu	Careless
满	mǎn	full
毛	máo	hair
毛巾	máojīn	Towel
美丽	měilì	beautiful
梦	mèng	dream
迷路	mílù	Get lost
密码	mìmǎ	Password
免费	miǎnfèi	Free of charge
秒	miǎo	second
民族	mínzú	Nation
母亲	mǔqīn	mother
目的	mùdì	objective
耐心	nàixīn	patience
难道	nándào	could it be said that …
难受	nánshòu	Uncomfortable
内	nèi	within
内容	nèiróng	content
能力	nénglì	ability
年龄	niánlíng	Age
弄	nòng	get, make
暖和	nuǎnhuo	warm
偶尔	ǒu’ěr	occasionally
排队	páiduì	queue; stand in a line
排列	páiliè	array
判断	pànduàn	judge
陪	péi	accompany
批评	pīpíng	criticism
皮肤	pífū	skin
脾气	píqi	Bad temper
篇	piān	piece
骗	piàn	fool
乒乓球	pīngpāngqiú	Table Tennis
平时	píngshí	peacetime
破	pò	broken
葡萄	pútao	Grape
普遍	pǔbiàn	universal
普通话	pǔtōnghuà	Mandarin
其次	qícì	Secondly
其中	qízhōng	among
气候	qìhòu	climate
千万	qiānwàn	Must
签证	qiānzhèng	visa
敲	qiāo	knock
桥	qiáo	Bridge
巧克力	qiǎokèlì	Chocolates
亲戚	qīnqi	Relative
轻	qīng	light
轻松	qīngsōng	Relaxed
情况	qíngkuàng	Situation
穷	qióng	poor
区别	qūbié	Difference
取	qǔ	take
全部	quánbù	whole
缺点	quēdiǎn	shortcoming
缺少	quēshǎo	Lack
却	què	but
确实	quèshí	Exactly
然而	rán’ér	however
热闹	rènao	lively
任何	rènhé	whatever, any
任务	rènwu	task
扔	rēng	throw
仍然	réngrán	still
日记	rìjì	diary
入口	rùkǒu	Entrance
散步	sànbù	Take a walk
森林	sēnlín	Forest
沙发	shāfā	Sofa
商量	shāngliang	discuss
伤心	shāngxīn	Sad
稍微	shāowēi	slightly
勺子	sháozi	Spoon
社会	shèhuì	Sociology
深	shēn	deep
申请	shēnqǐng	Apply
甚至	shènzhì	Even to the extent that
生活	shēnghuó	Life
生命	shēngmìng	life
生意	shēngyi	business
省	shěng	province
剩	shèng	Left
失败	shībài	fail
失望	shīwàng	Disappointment
师傅	shīfu	Master worker
十分	shífēn	very
实际	shíjì	Actual
实在	shízài	really
使	shǐ	make
使用	shǐyòng	Use
是否	shìfǒu	Whether
适合	shìhé	Fit
适应	shìyìng	Adapt
世纪	shìjì	century
收	shōu	collect
收入	shōurù	income
收拾	shōushi	Tidy
首都	shǒudū	capital
首先	shǒuxiān	First
受不了	shòubuliǎo	Cannot bear sth
受到	shòudào	Suffer
售货员	shòuhuòyuán	Salesperson
输	shū	lose, fail
熟悉	shúxī	be familiar with
数量	shùliàng	Number
数字	shùzì	number
帅	shuài	Handsome
顺便	shùnbiàn	Incidentally
顺利	shùnlì	smoothly
顺序	shùnxù	order
说明	shuōmíng	Explain
硕士	shuòshì	master
死	sǐ	die
速度	sùdù	speed
塑料袋	sùliàodài	Plastic bag
酸	suān	acid
随便	suíbiàn	casual
随着	suízhe	along with
孙子	sūnzi	Grandson
所有	suǒyǒu	All
台	tái	platform
抬	tái	Lift
态度	tàidu	attitude
谈	tán	talk
弹钢琴	tángāngqín	Play the piano
汤	tāng	soup
糖	táng	sugar
躺	tǎng	lie
趟	tàng	Trip
讨论	tǎolùn	discuss
讨厌	tǎoyàn	Hate
特点	tèdiǎn	Characteristic
提	tí	carry
提供	tígōng	provide
提前	tíqián	in advance
提醒	tíxǐng	remind
填空	tiánkòng	Fill in the blanks
条件	tiáojiàn	condition
停	tíng	Stop
挺	tǐng	quite
通过	tōngguò	through
通知	tōngzhī	notice
同时	tóngshí	meanwhile
同情	tóngqíng	Sympathy
推	tuī	push
推迟	tuīchí	delay
脱	tuō	take off
袜子	wàzi	Socks
完全	wánquán	completely
往往	wǎngwǎng	Often
网球	wǎngqiú	Tennis
网站	wǎngzhàn	website
危险	wēixiǎn	danger
味道	wèidào	taste
卫生间	wèishēngjiān	toilet
温度	wēndù	temperature
文章	wénzhāng	Article
污染	wūrǎn	contaminated
无	wú	nothing
无聊	wúliáo	Boring
无论	wúlùn	no matter what
误会	wùhuì	Misunderstanding
西红柿	xīhóngshì	Tomato
吸引	xīyǐn	Attract
咸	xián	salty
现金	xiànjīn	cash
羡慕	xiànmù	Envy
香	xiāng	fragrant
相反	xiāngfǎn	Contrary
相同	xiāngtóng	identical
详细	xiángxì	detailed
响	xiǎng	ring
橡皮	xiàngpí	rubber
消息	xiāoxi	message
小吃	xiǎochī	snack
小伙子	xiǎohuǒzi	Young fellow
小说	xiǎoshuō	Novel
笑话	xiàohua	joke
效果	xiàoguǒ	Effect
辛苦	xīnkǔ	hard
心情	xīnqíng	mood
信封	xìnfēng	envelope
信息	xìnxī	information
信心	xìnxīn	confidence
兴奋	xīngfèn	Excitement
行	xíng	That’s ok
醒	xǐng	wake up
性别	xìngbié	Gender
性格	xìnggé	character
幸福	xìngfú	happiness
修理 	xiūlǐ	repair
许多	xǔduō	many
学期	xuéqī	Semester
压力	yālì	pressure
牙膏	yágāo	toothpaste
亚洲	yàzhōu	Asia
呀	ya	ah
盐	yán	salt
严格	yángé	strict
严重	yánzhòng	serious
研究	yánjiū	research
演出	yǎnchū	show
演员	yǎnyuán	performer, actor
眼镜	yǎnjìng	glasses
阳光	yángguāng	Sunshine
养成	yǎngchéng	Cultivate
样子	yàngzi	A look
邀请	yāoqǐng	Invitation
要是	yàoshi	If
钥匙	yàoshi	Key
也许	yěxǔ	perhaps
页	yè	page
叶子	yèzi	Leaf
一切	yíqiè	everything
以	yǐ	with
以为	yǐwéi	Think
意见	yìjiàn	Opinion
艺术	yìshù	Art
因此	yīncǐ	therefore
引起	yǐnqǐ	cause
印象	yìnxiàng	impression
应聘	yìngpìn	Apply for
赢	yíng	win
勇敢	yǒnggǎn	Brave
永远	yǒngyuǎn	forever
优点	yōudiǎn	Advantage
优秀	yōuxiù	excellent
幽默	yōumò	Humor
由	yóu	from
由于	yóuyú	Because
邮局	yóujú	Post Office
尤其	yóuqí	especially
有趣	yǒuqù	interesting
友好	yǒuhǎo	friendly
友谊	yǒuyì	friendship
愉快	yúkuài	Cheerful
于是	yúshì	Therefore
与	yǔ	and
语法	yǔfǎ	grammar
语言	yǔyán	language
羽毛球	yǔmáoqiú	Badminton
预习	yùxí	Preview
原来	yuánlái	Original
原谅	yuánliàng	Forgive
原因	yuányīn	Reason
约会	yuēhuì	Date
阅读	yuèdú	Read
云	yún	cloud
允许	yǔnxǔ	allow
杂志	zázhì	Magazine
咱们	zánmen	We
暂时	zànshí	temporary
脏	zāng	dirty
责任	zérèn	responsibility
增加	zēngjiā	increase
占线	zhànxiàn	(line) Busy
招聘	zhāopìn	recruit
照	zhào	reflect
真正	zhēnzhèng	real
整理	zhěnglǐ	Arrangement
正常	zhèngcháng	normal
正好	zhènghǎo	Just right
正确	zhèngquè	Correct
正式	zhèngshì	formal
证明	zhèngmíng	Prove
之	zhī	of
支持	zhīchí	Support
知识	zhīshi	knowledge
值得	zhídé	Worth
直接	zhíjiē	direct
植物	zhíwù	Botany, plant
职业	zhíyè	Occupation
指	zhǐ	finger, to point
只好	zhǐhǎo	have to
只要	zhǐyào	as long as
质量	zhìliàng	quality
至少	zhìshǎo	at least
重	zhòng	heavy
重点	zhòngdiǎn	A key
重视	zhòngshì	importance, attach importance to
周围	zhōuwéi	around
主意	zhǔyi	idea
祝贺	zhùhè	Congratulate
著名	zhùmíng	famous
专门	zhuānmén	specialized
专业	zhuānyè	major
转	zhuàn	turn
赚	zhuàn	earn
准确	zhǔnquè	accuracy
准时	zhǔnshí	on time
仔细	zǐxì	careful
自然	zìrán	natural
自信	zìxìn	self-confidence
总结	zǒngjié	summary
租	zū	rent
最好	zuìhǎo	Best
尊重	zūnzhòng	respect
左右 	zuǒyòu	About
座	zuò	Seat
作家	zuòjiā	writer
座位	zuòwèi	seat
作用	zuòyòng	Effect
作者	zuòzhě	author
