Chinese	Pinyin	English
干活儿	gànhuór	work on a job
高级	gāojí	senior
告别	gàobié	farewell
隔壁	gébì	next door
个人	gèrén	personal
各自	gèzì	Each
根本	gēnběn	at all
公开	gōngkāi	open
公平	gōngpíng	fair
公寓	gōngyù	apartment
工厂	gōngchǎng	factory
工具	gōngjù	tool
工业	gōngyè	Industry
功能	gōngnéng	function
沟通	gōutōng	Communicate
姑娘	gūniang	girl
古代	gǔdài	Ancient
鼓掌	gǔzhǎng	applause
骨头	gǔtou	Bone
乖	guāi	Good behaved
怪不得	guàibude	No wonder
观察	guānchá	observation
观念	guānniàn	concept
冠军	guànjūn	Champion
光滑	guānghuá	smooth
光明	guāngmíng	light
广大	guǎngdà	Vast
规律	guīlǜ	Law
规则	guīzé	rule
滚	gǔn	rolling
国庆节	guóqìngjié	National Day
果实	guǒshí	fruit
过敏	guòmǐn	allergy
海鲜	hǎixiān	seafood
豪华	háohuá	luxury
好奇	hàoqí	Be curious
何必	hébì	Why
合法	héfǎ	legitimate
合理	hélǐ	reasonable
合同	hétong	contract
合作	hézuò	cooperation
恨	hèn	hate
猴子	hóuzi	Monkey
后背	hòubèi	back
忽视	hūshì	Ignore
壶	hú	pot
胡说	húshuō	Nonsense
糊涂	hútu	Confused
花生	huāshēng	peanut
划	huá	Rowing
话题	huàtí	Topic of conversation
怀念	huáiniàn	miss
怀孕	huáiyùn	become pregnant
慌张	huāngzhāng	flurried
黄金	huángjīn	gold
灰	huī	ash
灰心	huīxīn	Lose heart; be discouraged
婚礼	hūnlǐ	wedding
活跃	huóyuè	active
伙伴	huǒbàn	Partner
或许	huòxǔ	maybe; probably
基本	jīběn	basic
机器	jīqì	machine
及格	jígé	pass
集合	jíhé	aggregate
集中	jízhōng	focus
急诊	jízhěn	emergency
记忆	jìyì	memory
纪录	jìlù	Record
纪念	jìniàn	memorialize
家务	jiāwù	Housework
嘉宾	jiābīn	Distinguished guest
甲	jiǎ	nail
假如	jiǎrú	If
假装	jiǎzhuāng	pretend
驾驶	jiàshǐ	Drive
坚强	jiānqiáng	Firm
艰苦	jiānkǔ	hard
捡	jiǎn	pick up
简直	jiǎnzhí	simply
健身	jiànshēn	workout
建设	jiànshè	build
建筑	jiànzhù	Architecture
键盘	jiànpán	keyboard
讲座	jiǎngzuò	Lecture
酱油	jiàngyóu	soy sauce
浇	jiāo	pour it over
交换	jiāohuàn	exchange
交往	jiāowǎng	affiliate with
角度	jiǎodù	angle
教材	jiàocái	teaching material
教训	jiàoxùn	lesson
接待	jiēdài	Reception
结实	jiēshi	strong
节省	jiéshěng	save
结构	jiégòu	structure
结合	jiéhé	Combination
结论	jiélùn	conclusion
结账	jiézhàng	Checkout
届	jiè	Session
借口	jièkǒu	Excuse
戒	jiè	Quit
紧急	jǐnjí	urgent
尽快	jǐnkuài	as soon as possible
谨慎	jǐnshèn	cautious
进步	jìnbù	progress
近代	jìndài	Modern
尽量	jìnliàng	as far as possible
精神	jīngshén	spirit
经典	jīngdiǎn	classics; scriptures
救	jiù	save
舅舅	jiùjiu	uncle
桔子	júzi	Orange
具备	jùbèi	Have, possess
巨大	jùdà	huge
决赛	juésài	Finals
绝对	juéduì	Absolutely
军事	jūnshì	Military
开放	kāifàng	To open up
开水	kāishuǐ	Boiling water
砍	kǎn	cut
看不起	kànbuqǐ	Despise
可见	kějiàn	so; it`s thus clear
可怕	kěpà	dreadful
克	kè	gram
客观	kèguān	objective
控制	kòngzhì	control
口味	kǒuwèi	Flavor
夸	kuā	boast, praise
扩大	kuòdà	Expand
辣椒	làjiāo	Pepper, spice
烂	làn	rotten
劳动	láodòng	labour
老板	lǎobǎn	Boss
老鼠	lǎoshǔ	Mouse
姥姥	lǎolao	Grandma
理论	lǐlùn	theory
理由	lǐyóu	Reason
立刻	lìkè	immediately
力量	lìliàng	Power
利息	lìxī	accrual; interest
利用	lìyòng	utilize
连忙	liánmáng	Hurriedly
联合	liánhé	union
了不起	liǎobuqǐ	Amazing
列车	lièchē	train
临时	línshí	temporary
灵活	línghuó	flexible
领域	lǐngyù	field
流传	liúchuán	spread
浏览	liúlǎn	browse
龙	lóng	dragon
漏	lòu	leak
陆地	lùdì	land
录取	lùqǔ	matriculate
论文	lùnwén	paper
落后	luòhòu	backward, fall behind
骂	mà	scold
麦克风	màikèfēng	Microphone
满足	mǎnzú	satisfy
冒险	màoxiǎn	adventure
眉毛	méimao	eyebrow
美术	měishù	Fine Arts
秘密	mìmì	Secret
面对	miànduì	Face
面临	miànlín	face
苗条	miáotiao	slim
明确	míngquè	To make clear
明显	míngxiǎn	obvious
名牌	míngpái	famous brand
名胜古迹	míngshènggǔjì	Places of historic interest and scenic beauty
命令	mìnglìng	call; nominate
摸	mō	feel, touch
模糊	móhu	vague
摩托车	mótuōchē	Motorcycle
某	mǒu	some
目标	mùbiāo	target
目录	mùlù	Catalog
木头	mùtou	wood
哪怕	nǎpà	even if
难免	nánmiǎn	Unavoidable
脑袋	nǎodai	head
内科	nèikē	Internal medicine
嫩	nèn	tender, delicate
能干	nénggàn	capable
能源	néngyuán	energy
年代	niándài	years
年纪	niánjì	Age
宁可	nìngkě	would rather
牛仔裤	niúzǎikù	Jeans
农村	nóngcūn	countryside
农业	nóngyè	Agriculture
女士	nǚshì	Madam
派	pài	send
赔偿	péicháng	compensate for
培养	péiyǎng	culture, foster
配合	pèihé	Coordination
披	pī	drape over one`s shoulders
片面	piànmiàn	one-sided
拼音	pīnyīn	pinyin
平	píng	flat
平常	píngcháng	Usual
平方	píngfāng	square
平静	píngjìng	calm
评价	píngjià	evaluate
破坏	pòhuài	Destruction
期待	qīdài	expect
奇迹	qíjì	Miracle
启发	qǐfā	Inspire
气氛	qìfēn	atmosphere
汽油	qìyóu	gasoline
谦虚	qiānxū	Modest
签	qiān	Sign
浅	qiǎn	shallow
枪	qiāng	gun
强调	qiángdiào	Emphasize
抢	qiǎng	rob
悄悄	qiāoqiāo	quietly
瞧	qiáo	look
巧妙	qiǎomiào	clever
亲爱	qīn’ài	Dear
亲切	qīnqiè	kind
勤奋	qínfèn	hardworking
青春	qīngchūn	Youth
轻视	qīngshì	Despise
请求	qǐngqiú	request
球迷	qiúmí	fans
趋势	qūshì	trend
去世	qùshì	pass away
权力	quánlì	power
劝	quàn	persuade
缺乏	quēfá	Lack
确认	quèrèn	confirm
群	qún	group
燃烧	ránshāo	burning
绕	rào	Around
热爱	rè’ài	Ardently love
热心	rèxīn	enthusiastic
人才	réncái	talented people
人类	rénlèi	Human beings
人生	rénshēng	Life
人物	rénwù	character
忍不住	rěnbuzhù	Unable to bear
日程	rìchéng	schedule
日历	rìlì	calendar
日用品	rìyòngpǐn	Daily Necessities
如何	rúhé	How
软件	ruǎnjiàn	Software
洒	sǎ	sprinkle
嗓子	sǎngzi	throat
沙滩	shātān	beach
晒	shài	The sun
闪电	shǎndiàn	lightning
善于	shànyú	be good at
商品	shāngpǐn	commodity
商务	shāngwù	business
伤害	shānghài	hurt
舍不得	shěbude	Hate to part with or use
设计	shèjì	Design
摄影	shèyǐng	Photography
伸	shēn	stretch
深刻	shēnkè	profound
身份	shēnfèn	identity
神秘	shénmì	mysterious
生动	shēngdòng	vivid
生长	shēngzhǎng	grow
诗	shī	poetry
失眠	shīmián	insomnia
狮子	shīzi	Lion
时代	shídài	times, epoch
时髦	shímáo	Fashionable
时尚	shíshàng	fashion
实习	shíxí	Internship
实验	shíyàn	Experiment
石头	shítou	stone
使劲儿	shǐjìnr	exert all one’s strength
始终	shǐzhōng	Throughout
试卷	shìjuàn	test paper
市场	shìchǎng	market
事物	shìwù	Thing
收据	shōujù	receipt
手工	shǒugōng	manual
手术	shǒushù	Operation
手续	shǒuxù	procedures
首	shǒu	head, chief
受伤	shòushāng	Injured
寿命	shòumìng	Life
书架	shūjià	bookshelf
输入	shūrù	import; input
熟练	shúliàn	skilled
鼠标	shǔbiāo	mouse
数据	shùjù	data
数码	shùmǎ	Digital
摔倒	shuāidǎo	fall
双方	shuāngfāng	both sides
税	shuì	tax
说服	shuōfú	Persuade
丝绸	sīchóu	silk
思想	sīxiǎng	thought
似乎	sìhū	It seems that
随身	suíshēn	Carry on
碎	suì	broken
损失	sǔnshī	loss
锁	suǒ	lock
台阶	táijiē	Steps
太极拳	tàijíquán	Taiji boxing
逃	táo	flee
淘气	táoqì	naughty
讨价还价	tǎojiàhuánjià	bargain
套	tào	set
特色	tèsè	characteristic
提倡	tíchàng	promote
题目	tímù	subject
体贴	tǐtiē	Considerate
体验	tǐyàn	experience
天空	tiānkōng	sky
天真	tiānzhēn	naive
调整	tiáozhěng	adjustment
通常	tōngcháng	usually
统一	tǒngyī	Unified
痛快	tòngkuài	Happy, to one`s great satisfaction
偷	tōu	steal
投资	tóuzī	Investment
突出	tūchū	prominent
土豆	tǔdòu	Potato
兔子	tùzi	Rabbit
推辞	tuīcí	Refuse
推荐	tuījiàn	Recommend
退	tuì	retreat
退休	tuìxiū	retire
外公	wàigōng	grandpa (mother’s side)
完整	wánzhěng	complete
玩具	wánjù	Toys
万一	wànyī	In case
威胁	wēixié	threaten
维修	wéixiū	Repair
围绕	wéirào	around
尾巴	wěiba	tail
委屈	wěiqu	suffer from injustice
胃	wèi	stomach
位于	wèiyú	Be located
未必	wèibì	not necessarily
温柔	wēnróu	Tender
文具	wénjù	Stationery
文学	wénxué	literature
稳定	wěndìng	Stable
问候	wènhòu	To greet
卧室	wòshì	Bedroom
无数	wúshù	Countless
勿	wù	Not
物质	wùzhì	material
吸取	xīqǔ	Draw
系统	xìtǒng	system
戏剧	xìjù	drama
吓	xià	scare
夏令营	xiàlìngyíng	Summer camp
下载	xiàzài	download
显然	xiǎnrán	Obviously
县	xiàn	county
现象	xiànxiàng	phenomenon
香肠	xiāngcháng	sausage
相当	xiāngdāng	Quite
相似	xiāngsì	Be similar
想念	xiǎngniàn	miss
享受	xiǎngshòu	enjoy
项链	xiàngliàn	Necklace
象征	xiàngzhēng	Symbolize
消极	xiāojí	negative
消失	xiāoshī	disappear
小气	xiǎoqi	Mean
孝顺	xiàoshun	Filial piety
斜	xié	oblique
写作	xiězuò	writing
心理	xīnlǐ	Psychology
心脏	xīnzàng	heart
信任	xìnrèn	trust
行为	xíngwéi	behavior
形容	xíngróng	describe
形势	xíngshì	situation
形状	xíngzhuàng	shape
幸运	xìngyùn	lucky
兄弟	xiōngdì	Brother
虚心	xūxīn	With an open mind, modest
宣布	xuānbù	Announce
学术	xuéshù	learning
询问	xúnwèn	inquiry
训练	xùnliàn	training
押金	yājīn	deposit
牙齿	yáchǐ	tooth
宴会	yànhuì	banquet
痒	yǎng	itch
样式	yàngshì	style
腰	yāo	waist
咬	yǎo	bite
夜	yè	night
业余	yèyú	amateur
依然	yīrán	still
一旦	yídàn	once; in case
一致	yízhì	Agreement
一再	yízài	repeatedly
移民	yímín	immigrant
疑问	yíwèn	Doubt
以来	yǐlái	Since
意外	yìwài	Accident
议论	yìlùn	Discussion
义务	yìwù	obligation
因素	yīnsù	Factor
英俊	yīngjùn	Handsome and spirited
营养	yíngyǎng	Nutrition
硬	yìng	hard
应付	yìngfu	cope with
应用	yìngyòng	application
拥挤	yōngjǐ	Crowded
勇气	yǒngqì	courage
用功	yònggōng	Diligent
优惠	yōuhuì	preferential; favorable
优势	yōushì	advantage
悠久	yōujiǔ	long
油炸	yóuzhá	Fried
有利	yǒulì	favourable, beneficial
娱乐	yúlè	entertainment
预报	yùbào	prediction
预防	yùfáng	Prevention
圆	yuán	circular
元旦	uándàn	New year’s Day
员工	yuángōng	employee
愿望	yuànwàng	desire, wish
晕	yūn	faint
运气	yùnqi	luck
运用	yùnyòng	Application
灾害	zāihài	disaster
在乎	zàihu	care about
再三	zàisān	repeatedly
赞成	zànchéng	Agreement
糟糕	zāogāo	Too bad
造成	zàochéng	cause
责备	zébèi	Reproach
窄	zhǎi	narrow
展开	zhǎnkāi	Open
掌握	zhǎngwò	master
账户	zhànghù	account
珍惜	zhēnxī	cherish
阵	zhèn	front
睁	zhēng	open (eyes)
争取	zhēngqǔ	strive for
整个	zhěnggè	Whole
整齐	zhěngqí	neat
正	zhèng	just
政府	zhèngfǔ	government
证件	zhèngjiàn	Certificates
支	zhī	branch (measure word)
支票	zhīpiào	Check
指导	zhǐdǎo	guidance
制定	zhìdìng	Formulate
制造	zhìzào	Manufacture
智慧	zhìhuì	wisdom
秩序	zhìxù	order
中介	zhōngjiè	intermediary
中旬	zhōngxún	Mid
周到	zhōudào	thoughtful
逐步	zhúbù	gradually
竹子	zhúzi	Bamboo
主持	zhǔchí	Host
主观	zhǔguān	subjective
主题	zhǔtí	theme
主任	zhǔrèn	Headmaster
抓	zhuā	grab
专家	zhuānjiā	expert
专心	zhuānxīn	Attentively
转告	zhuǎngào	Tell, transmit
装	zhuāng	pretend
装修	zhuāngxiū	decorate house
状况	zhuàngkuàng	status
追	zhuī	run after
资格	zīgé	Qualifications
资料	zīliào	data
姿势	zīshì	posture
紫	zǐ	purple
字幕	zìmù	Subtitle
自动	zìdòng	automatic
自由	zìyóu	free
综合	zōnghé	comprehensive
总共	zǒnggòng	In total
总理	zǒnglǐ	prime minister
总算	zǒngsuàn	finally
总之	zǒngzhī	in short, in brief
组成	zǔchéng	Form
组织	zǔzhī	organization
作文	zuòwén	composition
哎	āi	Oh
爱护	àihù	Care
爱惜	àixī	Cherish
安装	ānzhuāng	install
暗	àn	dark
把握	bǎwò	grasp
摆	bǎi	pendulum
办理	bànlǐ	handle
傍晚	bàngwǎn	Evening
包裹	bāoguǒ	package
包括	bāokuò	Include
薄	báo	thin
宝贝	bǎobèi	baby
保持	bǎochí	keep
保险	bǎoxiǎn	Insurance
抱怨	bàoyuàn	Complain
报道	bàodào	report
报社	bàoshè	Newspaper office
背	bèi	Back
本质	běnzhì	essence
彼此	bǐcǐ	each other
毕竟	bìjìng	after all
避免	bìmiǎn	avoid
编辑	biānjí	edit
便	biàn	then, in that case
标点	biāodiǎn	punctuation
表明	biǎomíng	Indicate
病毒	bìngdú	virus
播放	bōfàng	play
脖子	bózi	neck
不要紧	búyàojǐn	Never mind
布	bù	cloth, textile
不安	bù’ān	Uneasy, unstable
不得了	bùdéliǎo	Very
不如	bùrú	not as good as
步骤	bùzhòu	step
采访	cǎifǎng	interview
彩虹	cǎihóng	Rainbow
参与	cānyù	participate in
惭愧	cánkuì	Be ashamed
操心	cāoxīn	Worry
册	cè	volume, book
测验	cèyàn	test
曾经	céngjīng	once
差距	chājù	disparity; distance
产品	chǎnpǐn	product
长途	chángtú	Long-distance
抄	chāo	copy
超级	chāojí	super
朝	cháo	towards
炒	chǎo	fry
吵架	chǎojià	quarrel
车厢	chēxiāng	carriage
沉默	chénmò	silent
称呼	chēnghu	to address
承认	chéngrèn	Admit
程度	chéngdù	degree
成分	chéngfèn	component
成果	chéngguǒ	Achievements
成就	chéngjiù	achievement
成熟	chéngshú	mature
成长	chéngzhǎng	Grow up
吃亏	chīkuī	Suffer
迟早	chízǎo	sooner or later
池塘	chítáng	Pond
翅膀	chìbǎng	Wing
充电器	chōngdiànqì	Charger
充满	chōngmǎn	full of 
抽屉	chōuti	drawer
臭	chòu	smelly
出版	chūbǎn	publish
出色	chūsè	excellent; outstanding
初级	chūjí	primary
传播	chuánbō	spread
传说	chuánshuō	Legend
窗帘	chuānglián	Window curtains
创造	chuàngzào	create
词汇	cíhuì	vocabulary
辞职	cízhí	Resignation
刺激	cìjī	stimulate
从此	cóngcǐ	from then on
从事	cóngshì	Be engaged in
促进	cùjìn	Promote
催	cuī	Reminder, urge
存在	cúnzài	existence
答应	dāying	promise
达到	dádào	Achieve
打交道	dǎjiāodao	Dealing with
打喷嚏	dǎpēntì	Sneeze
打听	dǎting	Inquire
大方	dàfang	generous
大型	dàxíng	large
呆	dāi	stay
代替	dàitì	replace
贷款	dàikuǎn	extend credit to; provide a loan
单纯	dānchún	Simple
单独	dāndú	Alone
单元	dānyuán	unit
胆小鬼	dǎnxiǎoguǐ	Coward
当地	dāngdì	Local
当心	dāngxīn	Watch out
挡	dǎng	block
岛屿	dǎoyǔ	Islands
导演	dǎoyǎn	director
导致	dǎozhì	cause
到达	dàodá	Arrive
道德	dàodé	Morality
等待	děngdài	wait for
的确	díquè	indeed; be certain to
地道	dìdao	tunnel
地理	dìlǐ	Geography
地区	dìqū	region
地位	dìwèi	status
点心	diǎnxin	snack
电台	diàntái	radio station
钓	diào	Fishing
洞	dòng	hole
豆腐	dòufu	Bean curd
独立	dúlì	Independent
断	duàn	break
堆	duī	heap
对方	duìfāng	the other party
对象	duìxiàng	object
兑换	duìhuàn	exchange
蹲	dūn	squat
多余	duōyú	surplus
躲藏	duǒcáng	Hide oneself
恶劣	èliè	Adverse
耳环	ěrhuán	Earrings
发愁	fāchóu	To be worried
发抖	fādǒu	Tremble
发明	fāmíng	Invention
翻	fān	Turn
反复	fǎnfù	Repeatedly
反映	fǎnyìng	reflect
方	fāng	square
仿佛	fǎngfú	as if
非	fēi	wrong; non
废话	fèihuà	Crap
分别	fēnbié	part
分配	fēnpèi	distribution
分析	fēnxī	Analysis
纷纷	fēnfēn	one after another
奋斗	fèndòu	Struggle
风格	fēnggé	style
风俗	fēngsú	Customs
疯狂	fēngkuáng	Insane
否定	fǒudìng	negative
幅	fú	classifier of picture
服装	fúzhuāng	costume; dress
辅导	fǔdǎo	Coach
妇女	fùnǚ	Woman
改革	gǎigé	reform
改善	gǎishàn	Improve
盖	gài	cover
概念	gàiniàn	concept
干脆	gāncuì	simply
干燥	gānzào	Dry
感激	gǎnjī	Appreciate
感受	gǎnshòu	feel
赶紧	gǎnjǐn	Quickly
钢铁	gāngtiě	steel
高档	gāodàng	High-grade
搞	gǎo	get
格外	géwài	especially
个别	gèbié	individual
个性	gèxìng	personality
根	gēn	root
公布	gōngbù	Publish
公元	gōngyuán	A.D.
公主	gōngzhǔ	princess
工程师	gōngchéngshī	Engineer
工人	gōngrén	Worker
恭喜	gōngxǐ	congratulations
贡献	gòngxiàn	contribution
构成	gòuchéng	constitute
姑姑	gūgu	aunt
古典	gǔdiǎn	classical
鼓舞	gǔwǔ	Inspire
股票	gǔpiào	shares; stock
固定	gùdìng	fixed
挂号	guàhào	Register
拐弯	guǎiwān	Turn
官	guān	officer
关闭	guānbì	close; shut
观点	guāndiǎn	viewpoint
管子	guǎnzi	pipe
光临	guānglín	presence
光盘	guāngpán	CD
广场	guǎngchǎng	square
广泛	guǎngfàn	widely
规矩	guīju	Rules
规模	guīmó	scale
归纳	guīnà	Induce
柜台	guìtái	Counter
锅	guō	pot
国王	guówáng	king
果然	guǒrán	Sure enough
过分	guòfèn	excessive
过期	guòqī	Be overdue
哈	hā	ah
海关	hǎiguān	Customs
喊	hǎn	shout
行业	hángyè	industry
好客	hàokè	Hospitable
和平	hépíng	peace
何况	hékuàng	Not to mention
合影	héyǐng	Group photo
核心	héxīn	core
后果	hòuguǒ	Consequence
忽然	hūrán	suddenly
呼吸	hūxī	breathing
蝴蝶	húdié	Butterfly
胡同	hútòng	Hutong
华裔	huáyì	Chinese born
滑	huá	slippery
化学	huàxué	Chemistry
缓解	huǎnjiě	relieve
幻想	huànxiǎng	fantasy
挥	huī	Essential
灰尘	huīchén	dust
恢复	huīfù	recovery
汇率	huìlǜ	exchange rate
婚姻	hūnyīn	Marriage
火柴	huǒchái	Match
激烈	jīliè	fierce
肌肉	jīròu	muscle
极其	jíqí	extremely
集体	jítǐ	collective
急忙	jímáng	Hastily
记录	jìlù	Record
计算	jìsuàn	Calculation
系领带	jìlǐngdài	wear a tie
纪律	jìlǜ	discipline
寂寞	jìmò	lonely
家庭	jiātíng	Family
家乡	jiāxiāng	Hometown
夹子	jiāzi	Clip
假设	jiǎshè	in case of
嫁	jià	get married to
价值	jiàzhí	value
肩膀	jiānbǎng	shoulder
坚决	jiānjué	firm, determined
艰巨	jiānjù	arduous
兼职	jiānzhí	Part-time job
简历	jiǎnlì	resume
剪刀	jiǎndāo	scissors
建立	jiànlì	establish
讲究	jiǎngjiu	Pay attention to; daintily
交际	jiāojì	communication
胶水	jiāoshuǐ	glue
狡猾	jiǎohuá	cunning
教练	jiàoliàn	coach
接触	jiēchù	Contact
接近	jiējìn	near
阶段	jiēduàn	stage
戒指	jièzhi	Ring
金属	jīnshǔ	Metal
进口	jìnkǒu	Imported
尽力	jìnlì	Try the best
精力	jīnglì	energy
经商	jīngshāng	be in business; trade
经营	jīngyíng	Management
酒吧	jiǔbā	Bar
救护车	jiùhùchē	Ambulance
居然	jūrán	actually
具体	jùtǐ	specific
俱乐部	jùlèbù	Club
据说	jùshuō	allegedly; it`s said
捐	juān	Donate
决心	juéxīn	Determination
角色	juésè	role
均匀	jūnyún	uniformity
卡车	kǎchē	Truck
开发	kāifā	Development
开幕式	kāimùshì	The opening ceremony
看望	kànwàng	visit
靠	kào	lean
颗	kē	pellet (measure word)
可靠	kěkào	reliable
课程	kèchéng	curriculum
克服	kèfú	Overcome
刻苦	kèkǔ	Hardworking
空间	kōngjiān	space
空闲	kòngxián	free
夸张	kuāzhāng	exagerate
会计	kuàijì	accountant
宽	kuān	wide
昆虫	kūnchóng	insect
拦	lán	Stop
朗读	lǎngdú	Reading aloud
劳驾	láojià	Excuse me
老百姓	lǎobǎixìng	Ordinary people
老实	lǎoshi	honest
老婆	lǎopó	wife
乐观	lèguān	optimistic
雷	léi	Thunder
类型	lèixíng	type
冷淡	lěngdàn	cool attitude
梨	lí	pear
离婚	líhūn	divorce
厘米	límǐ	centimeter
立即	lìjí	immediately
利润	lìrùn	profit
利益	lìyì	interest
连续	liánxù	serial
恋爱	liàn’ài	Love, in love
良好	liánghǎo	good
粮食	liángshi	foodstuff
亮	liàng	bright
铃	líng	bell
零件	língjiàn	Spare parts
零食	língshí	snacks
领导	lǐngdǎo	Leader
流泪	liúlèi	Shed tears
陆续	lùxù	One after another
录音	lùyīn	Sound recording
轮流	lúnliú	take turns
逻辑	luóji	logic
馒头	mántou	Steamed buns
毛病	máobìng	Trouble
矛盾	máodùn	contradiction
贸易	màoyì	Trade
媒体	méitǐ	media
煤炭	méitàn	coal
魅力	mèilì	charm
梦想	mèngxiǎng	Dream
蜜蜂	mìfēng	honeybee
密切	mìqiè	close
秘书	mìshū	secretary
面积	miànjī	The measure of area
描写	miáoxiě	describe
敏感	mǐngǎn	Sensitive
明星	míngxīng	Star
名片	míngpiàn	business card
命运	mìngyùn	fate, destiny
模仿	mófǎng	imitate
模特	mótè	model
陌生	mòshēng	strange
目前	mùqián	at present
难怪	nánguài	no wonder
内部	nèibù	interior
嗯	en	Well
念	niàn	Read
浓	nóng	strong
农民	nóngmín	farmer
欧洲	Ōuzhōu	Europe
偶然	ǒurán	accidental
拍	pāi	beat
盼望	pànwàng	look forward to
培训	péixùn	Train
佩服	pèifu	Admire
盆	pén	basin, pot
碰	pèng	touch, meet
批	pī	batch
批准	pīzhǔn	Approval
疲劳	píláo	fatigue
匹	pǐ	Horse (meaure word)
片	piàn	slice
飘	piāo	Gone with the wind
频道	píndào	channel
凭	píng	By
平安	píng’ān	sound and safe
平等	píngděng	equality
平衡	pínghéng	balance
平均	píngjūn	Average
破产	pòchǎn	bankruptcy
迫切	pòqiè	urgent
期间	qījiān	Period
其余	qíyú	Rest
企业	qǐyè	enterprise
前途	qiántú	future
欠	qiàn	owe
墙	qiáng	wall
强烈	qiángliè	strong
切	qiē	cut
亲自	qīnzì	personally
青	qīng	young
青少年	qīngshàonián	Teenagers
轻易	qīngyì	easily
清淡	qīngdàn	light
情景	qíngjǐng	scene
情绪	qíngxù	emotion
庆祝	qìngzhù	Celebrate
娶	qǔ	marry
取消	qǔxiāo	cancel
圈	quān	circle
全面	quánmiàn	comprehensive
权利	quánlì	right, interest
确定	quèdìng	Determine
